timestamp,person_id,body_height,shoulder_body_ratio,role
1766266110.471154,1,121.84,2.075,CHILD
1766266110.720267,1,126.65,1.959,CHILD
1766266110.8993728,1,126.12,2.035,CHILD
1766266111.0974872,1,127.14,1.97,CHILD
1766266111.2725973,1,123.26,1.988,CHILD
1766266111.4782784,1,131.76,1.938,CHILD
1766266111.6521902,1,127.77,1.962,CHILD
1766266111.8217316,1,124.51,1.999,CHILD
1766266111.9927995,1,125.88,1.92,CHILD
1766266112.1679072,1,124.09,2.027,CHILD
1766266112.357014,1,117.92,2.23,ADULT
1766266112.527562,1,121.66,1.904,CHILD
1766266112.695681,1,118.37,2.045,ADULT
1766266112.869779,1,120.41,2.135,CHILD
1766266113.0498862,1,112.93,2.712,ADULT
1766266113.2214413,1,106.24,3.018,ADULT
1766266113.3995247,1,109.96,2.662,ADULT
1766266113.5726237,1,102.13,3.216,ADULT
1766266113.756724,1,102.36,3.041,ADULT
1766266113.9416037,1,94.85,3.377,ADULT
1766266114.158105,1,93.25,3.551,ADULT
1766266114.3722255,1,95.54,3.353,ADULT
1766266114.597316,1,94.32,3.494,ADULT
1766266114.7904239,1,110.38,2.682,ADULT
1766266114.970512,1,118.05,2.52,ADULT
1766266115.1555686,1,123.09,2.5,CHILD
1766266115.3416278,1,124.5,2.482,CHILD
1766266115.528176,1,136.69,2.102,CHILD
1766266115.7272396,1,141.15,1.987,CHILD
1766266115.9143078,1,132.86,2.282,CHILD
1766266116.1132758,1,134.17,2.088,CHILD
1766266116.292549,1,139.07,2.095,CHILD
1766266116.519029,1,131.9,2.125,CHILD
1766266116.7061296,1,139.39,2.034,CHILD
1766266116.8832142,1,128.35,2.283,CHILD
1766266393.2963886,1,126.43,2.103,CHILD
1766266393.6382945,1,125.91,2.119,CHILD
1766266393.8624086,1,123.14,2.207,CHILD
1766266394.0485063,1,126.39,2.091,CHILD
1766266394.2285645,1,122.24,2.22,CHILD
1766266394.4186537,1,128.73,2.071,CHILD
1766266394.591201,1,121.74,2.202,CHILD
1766266394.772235,1,124.54,2.23,CHILD
1766266394.946367,1,127.66,2.145,CHILD
1766266395.1334145,1,125.31,2.215,CHILD
1766266395.32547,1,122.93,2.243,CHILD
1766266395.5445452,1,125.31,2.095,CHILD
1766266395.831205,1,125.01,2.105,CHILD
1766266396.1314304,1,123.68,2.256,CHILD
1766266396.349512,1,122.67,2.26,CHILD
1766266396.5315804,1,127.4,2.103,CHILD
1766266396.7076533,1,126.07,2.055,CHILD
1766266396.8902264,1,124.93,2.047,CHILD
1766266397.0573323,1,126.57,2.112,CHILD
1766266397.2254057,1,126.49,2.178,CHILD
1766266397.4124484,1,125.85,2.106,CHILD
1766266397.598992,1,125.46,2.087,CHILD
1766266397.782051,1,123.64,2.286,CHILD
1766266397.9551268,1,124.7,2.097,CHILD
1766266398.1464543,1,130.99,2.037,CHILD
1766266398.3308058,1,147.59,1.967,CHILD
1766266398.5058632,1,154.53,1.93,CHILD
1766266398.6934144,1,161.83,2.049,CHILD
1766266398.8744807,1,164.44,1.886,CHILD
1766266399.0405834,1,167.08,1.997,CHILD
1766266399.211643,1,166.36,1.969,CHILD
1766266399.387242,1,165.46,2.11,CHILD
1766266399.553319,1,163.13,2.053,CHILD
1766266399.7153695,1,176.18,1.992,CHILD
1766266399.889954,1,162.94,2.189,CHILD
1766266400.0940065,1,171.76,2.05,CHILD
1766266400.291062,1,151.01,2.381,CHILD
1766266400.4803195,1,158.37,2.278,CHILD
1766266400.669632,1,155.78,2.155,CHILD
1766266400.8463259,1,153.98,2.248,CHILD
1766266401.0394132,1,161.83,2.047,CHILD
1766266401.2244792,1,174.51,2.035,CHILD
1766266401.4115312,1,225.02,1.454,CHILD
1766266401.6065845,1,176.02,2.103,CHILD
1766266401.793123,1,202.59,1.734,CHILD
1766266401.9721916,1,203.44,1.638,CHILD
1766266402.165266,1,240.5,1.158,CHILD
1766266402.3503711,1,193.21,1.715,CHILD
1766266402.527447,1,203.74,1.496,CHILD
1766266402.712531,1,201.79,1.564,CHILD
1766266402.8956137,1,199.29,1.521,CHILD
1766266403.0903618,1,196.07,1.569,CHILD
1766266403.2794816,1,217.49,1.391,CHILD
1766266403.4605572,1,193.51,1.615,CHILD
1766266403.6476328,1,198.25,1.528,CHILD
1766266403.8357134,1,243.29,0.826,CHILD
1766266404.0237882,1,236.84,0.936,CHILD
1766266404.207888,1,255.36,0.909,CHILD
1766266404.4004357,1,204.92,1.512,CHILD
1766266404.582502,1,210.84,1.453,CHILD
